features,cofficients
pay_count_7days,6.805141574
iaa_income_7days,4.075089843
pay_amount_7days,2.109946756
diamond_consume_slope_count,1.590823212
first_pay_amount,1.160899779
battle_real_win_ratio,1.054425423
login_day3,0.477109527
iaa_click_slope_count,0.457033748
iaa_count_7days,0.42219883
quest_slope_count,0.415720832
country,0.224064102
battle_real_count,0.126277043
first_player,0.114610502
diamond_clothes_status,0.103165158
quest,0.08791825
online_time_slope_count,0.086196334
level_training,0.081306679
iaa_click_slope,0.081272414
battle_win_ratio,0.06992243
talent_max_count,0.069530954
max_level_slope,0.063980604
diamond_daily_pass,0.058610971
diamond_limit_shop,0.056701394
diamond_monthly_card,0.051693015
battle_slope,0.050399372
diamond_skill_slot,0.047894312
login_day2,0.034480036
diamond_fancy,0.020807805
diamond_clothes,0.02017393
diamond_battle_pass_exp,0.020036545
diamond_player_coin,0.017470966
diamond_contract_player_shop,0.016873761
first_online_slope,0.016182066
diamond_battle_pass,0.01355338
day,0.010102599
diamond_buy_player,0.008091327
sapphire_consume_avg,0.003478227
battle_real_power_diff,0.002367412
onlinte_time_day7,0.000710582
onlinte_time_day6,0.000501526
onlinte_time_day5,0.000256675
online_time_slope,-0.00010114
onlinte_time_day4,-0.000110122
onlinte_time_day1,-0.000118743
onlinte_time_day2,-0.000230663
onlinte_time_day3,-0.000348736
battle_ping,-0.000939281
diamond_evolve_shop,-0.004797333
diamond_player_star,-0.006629765
diamond_coin,-0.007221531
battle_power_diff,-0.011529944
sapphire_consume_slope_count,-0.014271067
diamond_turntable,-0.026294015
quest_slope,-0.03103191
talent_sum,-0.067417148
first_online_slope_count,-0.131429503
max_level_slope_count,-0.158380706
battle_slope_count,-0.210170421
battle_real,-0.301620683
battle_rank_class,-0.349441945
login_day7,-0.362470444
iaa_first_day,-0.375590499
login_day5,-0.49604452
iaa_click_avg,-0.537791398
login_day6,-0.859117892
pay_amount_avg,-3.184562529
first_pay_day,-3.521630013
